127.0.0.1, 2018-10-05 18:05:45, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.633000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:05:46, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
0
127.0.0.1, 2018-10-05 18:05:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/default/site, HTTP/1.1, 303, 0.114000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/default/index, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-05 18:06:07, POST, /admin/default/index, HTTP/1.1, 303, 0.014000
127.0.0.1, 2018-10-05 18:06:07, GET, /admin/default/site, HTTP/1.1, 200, 0.038000
127.0.0.1, 2018-10-05 18:06:08, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:08, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-05 18:06:08, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-10-05 18:06:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.310000
127.0.0.1, 2018-10-05 18:06:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
